,LOC,ADDR,CCTV_YN,CCTV_CNT,ROAD_BT,LATITUDE,LONGITUDE
94,주곡초등학교(병설),경기도 남양주시 진접읍 금곡리 1004번지,Y,3,14,37.7246485,127.2059802
95,부평초등학교(병설),경기도 남양주시 진접읍 부평리 761번지,Y,4,4,37.7377285,127.2014632
96,은솔초등학교(병설),경기도 남양주시 화도읍 녹촌리 210-5번지,Y,2,28,37.650444,127.295304
97,송천분교,경기도 남양주시 수동면 송천리 332번지,Y,3,6,37.6951026,127.3342456
98,화도초등학교(병설),경기도 남양주시 화도읍 마석우리 194-3번지,Y,3,6,37.6559918,127.2801571
99,샛별초등학교(병설),경기도 남양주시 별내면 광전리 101-1번지,Y,7,6,37.6658878,127.1291687
100,예봉초등학교(병설),경기도 남양주시 와부읍 덕소리 252번지,Y,9,6,37.5921853,127.2210205
101,구룡초등학교(병설),경기도 남양주시 호평동 722번지,Y,4,15,37.6580531,127.2526651
102,덕송초등학교(병설),경기도 남양주시 별내동 813번지,Y,9,15,37.6692049,127.1159082
103,율면초교,경기도 이천시 율면 고당리 545번지,Y,1,6,37.0872241777,127.5427675056
104,사동초교,경기도 이천시 대월면 사동리 518번지,Y,1,6,37.2420207670,127.4871369724
105,큰별유치원,경기도 이천시 마장면 오천리 63번지,Y,1,12,37.2493268514,127.3564864251
106,은광유치원,경기도 이천시 안흥동 128-1번지,Y,1,6,37.2806113094,127.4644548063
107,하버드어린이집,경기도 이천시 송정동 321-6번지,Y,1,5,37.2962527168,127.4381365
108,설봉초교,경기도 이천시 창전동 501번지,Y,2,6,37.2847951,127.4525003
109,호법초교,경기도 이천시 호법면 후안리 290-1번지,Y,1,6,37.2250993,127.4253668
110,진가초교,경기도 이천시 모가면 진가리 156번지,Y,1,6,37.1747524747,127.4792099702
111,신둔초교,경기도 이천시 신둔면 수광리 262-1번지,Y,1,6,37.3102839891,127.4035291066
112,나루유치원,경기도 이천시 부발읍 가산리 589번지,N,0,5,37.249972,127.516603
113,첫단추유치원,경기도 남양주시 화도읍 묵현리 70-3번지,Y,3,7,37.6645095,127.3048559
114,신성유치원,경기도 남양주시 와부읍 덕소리 478-2번지,Y,3,5,37.5865612,127.2145853
115,경기도 양평군 양동초등학교,경기도 양평군 양동면 석곡리 190번지,Y,2,6m,37.4302902869,127.7501237402
116,경기도 양평군 용문초등학교,경기도 양평군 용문면 광탄리 154번지,Y,2,7m,37.5097742841,127.6326912863
117,경기도 양평군 조현초등학교,경기도 양평군 용문면 조현리 174-1번지,Y,2,10m,37.5226658577,127.6158315618
118,경기도 양평군 양서초등학교,경기도 양평군 양서면 도곡리 320-1번지,Y,2,6m,37.5126016235,127.3820498679
119,경기도 양평군 양평초등학교,경기도 양평군 양평읍 양근리 491-9번지,Y,2,8m,37.4933006017,127.4862319464
120,경기도 양평군 세월초등학교,경기도 양평군 강상면 세월리 126-1번지,Y,2,8m,37.4362773357,127.4948703922
121,하영유치원,경기도 남양주시 와부읍 덕소리 176-1번지,Y,9,7,37.5914404,127.2209875
122,미예뜰유치원,경기도 남양주시 진접읍 금곡리 1104번지,Y,3,15,37.7100366,127.1980828
123,도농초등학교(병설),경기도 남양주시 다산동 4002-6번지,Y,8,6,37.6123947,127.1574242
124,호평초등학교,경기도 남양주시 호평동 378-1번지,Y,7,7,37.6672087,127.2466157
125,신촌초등학교(병설),경기도 남양주시 평내동 599번지,Y,4,15,37.6452821,127.2355764
126,사능초등학교(병설),경기도 남양주시 진건읍 사능리 360-1번지,Y,6,6,37.6554487,127.1840375
127,강서유치원,경기도 광명시 광명동 158-772번지,N,0,6,37.476911,126.853511
128,파랑새유치원,경기도 광명시 하안동 110번지 하안12단지고층주공아파트,N,0,6,37.461515,126.883037
129,가림초등학교,경기도 광명시 하안동 297번지,Y,2,6,37.458471,126.878637
130,광명남초등학교,경기도 광명시 광명동 295-58번지,Y,2,6,37.475514,126.853915
131,경기도 양평군 강하초등학교,경기도 양평군 강하면 운심리 43-2번지,Y,2,6m,37.4962200500,127.4096267973
132,광명서초등학교,경기도 광명시 광명동 219번지,Y,3,6,37.478413,126.847014
133,그림마을유치원,경기도 광명시 철산동 233-3,N,0,6,37.480505,126.866082
134,광문초등학교,경기도 광명시 광명동 735번지,Y,3,6,37.466711,126.851348
135,소하초등학교,경기도 광명시 소하동 1328번지,Y,1,6,37.449236,126.887357
